"cb_flag","dec","decstr","discoverymethod","elat","elon","glat","glon","hd_name","hip_name","hostname","pl_bmasse","pl_bmassj","pl_bmassprov","pl_cmasse","pl_cmassj","pl_dens","pl_eqt","pl_imppar","pl_insol","pl_letter","pl_masse","pl_massj","pl_msinie","pl_msinij","pl_name","pl_occdep","pl_orbeccen","pl_orbincl","pl_orblper","pl_orbper","pl_orbsmax","pl_orbtper","pl_projobliq","pl_rade","pl_radj","pl_ratdor","pl_ratror","pl_rvamp","pl_trandep","pl_trandur","pl_tranmid","pl_trueobliq","pl_tsystemref","ra","rastr","soltype","st_age","st_dens","st_logg","st_lum","st_mass","st_met","st_metratio","st_rad","st_radv","st_rotp","st_spectype","st_teff","st_vsin","sy_dist","sy_plx","sy_pm","sy_pmdec","sy_pmra","sy_pnum","sy_snum","ttv_flag","pl_eqt_normalized","pl_insol_normalized","pl_orbsmax_normalized","id","phi_estimated"
0,46.2858128,"+46d17m08.93s","Transit",65.86127,315.27706,11.6333,79.29221,NA,NA,"KOI-217",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KOI-217 b",NA,NA,NA,NA,3.9050824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.41497,NA,"BJD",294.8654667,"19h39m27.71s","Published Confirmed",NA,1.5415,4.45,-0.169,0.93,0.11,"[M/H]",0.95,NA,NA,NA,5381,NA,914.699,1.06473,2.5768478,-1.07283,-2.3429,1,1,1,NA,NA,NA,11,0.740111558486955
0,45.3096572,"+45d18m34.77s","Transit",65.39812,311.88564,12.17757,77.89242,NA,NA,"KOI-3680",613.4119,1.93,"Mass",NA,NA,2.46,347,0.15,NA,"b",613.4119,1.93,NA,NA,"KOI-3680 b",NA,0.496,89.892,154.7,141.241671,0.534,NA,NA,11.097,0.99,125.7,0.10646,87.7,NA,6.7368,2455936.65434,NA,"BJD-TDB",293.2815266,"19h33m07.57s","Published Confirmed",3.2,1.88,4.47,NA,1.01,0.16,"[Fe/H]",0.96,-44.93,NA,NA,5830,3.5,921.986,1.05642,12.0589008,-3.60096,-11.5087,1,1,0,0.735,NA,0.509473684210526,12,0.75985714302639
0,38.5582993,"+38d33m29.88s","Transit",60.45611,296.92078,13.82335,69.45751,NA,NA,"KOI-4978",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"KOI-4978 b",NA,NA,NA,NA,0.941967,NA,NA,NA,0.7,0.062,3.6,NA,NA,NA,2.2,2454833.099,NA,"BJD",286.5907635,"19h06m21.78s","Published Confirmed",NA,1.1,NA,NA,0.86,NA,NA,0.97,NA,NA,"G",5050.28,NA,936.341,1.03972,1.6819067,0.738319,1.51119,1,1,0,NA,NA,NA,13,0.723758271229406
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",3.26,0.01026,"Mass",NA,NA,5.57,2188,NA,3820,"b",3.26,0.01026,NA,NA,"Kepler-10 b",NA,0,84.8,NA,0.8374907,0.01685,NA,NA,1.47,0.131,NA,NA,2.34,NA,NA,2455034.08687,NA,"BJD-TDB",285.679298,"19h02m43.03s","Published Confirmed",10.6,NA,NA,NA,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5708,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,1,1,0,14,0.701794487418541
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"Kepler-10 b",NA,NA,NA,NA,0.83749128,NA,NA,NA,NA,NA,NA,NA,NA,0.0191,2.1305,2454953.687402,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,15,0.701026326539513
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",3.24,0.01019,"Mass",NA,NA,5.48,NA,NA,NA,"b",3.24,0.01019,NA,NA,"Kepler-10 b",NA,NA,NA,NA,0.837501,NA,NA,NA,NA,NA,NA,NA,2.32,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,16,0.701026326539513
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"Kepler-10 b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,17,0.701026326539513
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",3.57,0.01123,"Mass",NA,NA,6,NA,NA,NA,"b",3.57,0.01123,NA,NA,"Kepler-10 b",NA,NA,NA,NA,0.837,NA,NA,NA,1.489,0.133,NA,0.01268,2.59,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,1.029,4.34,NA,0.91,-0.15,"[Fe/H]",1.07,NA,NA,NA,5708,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,18,0.701484606776028
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"Kepler-10 b",NA,NA,NA,NA,0.83749149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.57428,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,19,0.701026326539513
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",3.72,0.0117,"Mass",NA,NA,6.46,NA,NA,NA,"b",3.72,0.0117,NA,NA,"Kepler-10 b",NA,NA,NA,NA,0.8374907,0.01685,NA,NA,1.47,0.131,NA,NA,2.67,NA,NA,2455034.08687,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",10.6,NA,4.34,0.002,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5708,2.04,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,0,20,0.701794487418541
