pl_name,hostname,pl_letter,hd_name,hip_name,sy_snum,sy_pnum,cb_flag,discoverymethod,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx
KOI-217 b,KOI-217,b,NA,NA,1,1,0,Transit,Published Confirmed,3.9050824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.41497,BJD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5381,0.95,0.93,0.11,[M/H],-0.169,4.45,NA,1.5415,NA,NA,NA,19h39m27.71s,294.8654667,+46d17m08.93s,46.2858128,11.6333,79.29221,65.86127,315.27706,2.5768478,-2.3429,-1.07283,914.699,1.06473
KOI-3680 b,KOI-3680,b,NA,NA,1,1,0,Transit,Published Confirmed,141.241671,0.534,11.097,0.99,613.4119,1.93,NA,NA,NA,NA,613.4119,1.93,Mass,2.46,0.496,NA,347,89.892,2455936.65434,BJD-TDB,0,0.15,NA,6.7368,125.7,0.10646,NA,NA,154.7,87.7,NA,NA,NA,5830,0.96,1.01,0.16,[Fe/H],NA,4.47,3.2,1.88,3.5,NA,-44.93,19h33m07.57s,293.2815266,+45d18m34.77s,45.3096572,12.17757,77.89242,65.39812,311.88564,12.0589008,-11.5087,-3.60096,921.986,1.05642
KOI-4978 b,KOI-4978,b,NA,NA,1,1,0,Transit,Published Confirmed,0.941967,NA,0.7,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454833.099,BJD,0,NA,NA,2.2,3.6,NA,NA,NA,NA,NA,NA,NA,G,5050.28,0.97,0.86,NA,NA,NA,NA,NA,1.1,NA,NA,NA,19h06m21.78s,286.5907635,+38d33m29.88s,38.5582993,13.82335,69.45751,60.45611,296.92078,1.6819067,1.51119,0.738319,936.341,1.03972
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.8374907,0.01685,1.47,0.131,3.26,0.01026,NA,NA,NA,NA,3.26,0.01026,Mass,5.57,0,3820,2188,84.8,2455034.08687,BJD-TDB,0,NA,NA,NA,NA,NA,NA,NA,NA,2.34,NA,NA,NA,5708,1.06,0.91,-0.15,[Fe/H],NA,NA,10.6,NA,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.83749128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454953.687402,BJD,0,NA,0.0191,2.1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,5706,1.09,1.02,-0.12,[M/H],0.055,4.37,NA,1.1079,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.837501,NA,NA,NA,3.24,0.01019,NA,NA,NA,NA,3.24,0.01019,Mass,5.48,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.32,NA,NA,NA,5706,1.09,1.02,-0.12,[M/H],0.055,4.37,NA,1.1079,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5706,1.09,1.02,-0.12,[M/H],0.055,4.37,NA,1.1079,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.837,NA,1.489,0.133,3.57,0.01123,NA,NA,NA,NA,3.57,0.01123,Mass,6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.01268,NA,NA,NA,2.59,NA,NA,NA,5708,1.07,0.91,-0.15,[Fe/H],NA,4.34,NA,1.029,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.83749149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.57428,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5706,1.09,1.02,-0.12,[M/H],0.055,4.37,NA,1.1079,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.8374907,0.01685,1.47,0.131,3.72,0.0117,NA,NA,NA,NA,3.72,0.0117,Mass,6.46,NA,NA,NA,NA,2455034.08687,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA,NA,NA,5708,1.06,0.91,-0.15,[Fe/H],0.002,4.34,10.6,NA,2.04,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.837495,0.01684,1.416,0.126,4.56,0.014,NA,NA,NA,NA,4.56,0.014,Mass,8.8,0,NA,1833,84.4,2454964.57375,BJD,0,0.339,NA,NA,3.436,0.01232,NA,NA,NA,3.3,NA,NA,NA,5627,1.06,0.9,-0.15,[Fe/H],0.002,4.34,11.9,NA,0.5,NA,-98.93,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.8374907,0.01685,1.47,0.131,3.33,0.01,NA,NA,NA,NA,3.33,0.01,Mass,5.8,0,NA,2169,84.8,2455034.08687,BJD-TDB,0,0.31,NA,1.811,3.46,0.01261,NA,NA,NA,2.38,NA,NA,NA,5708,1.06,0.91,-0.15,[Fe/H],NA,4.34,10.6,1.068,2.04,NA,-98.74,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
Kepler-10 b,Kepler-10,b,NA,NA,1,3,0,Transit,Published Confirmed,0.837491,0.0172,1.481,0.132,4.60853,0.0145,NA,NA,NA,NA,4.60853,0.0145,Mass,8,NA,NA,2130,85.1,2454964.57513,BJD,0,0.3,NA,NA,3.47,0.01247,NA,NA,NA,3.3,NA,NA,NA,5627,1.06,0.91,-0.15,[Fe/H],NA,4.35,NA,NA,NA,NA,NA,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,18.81626,80.48988,71.85007,303.69711,45.3461486,-18.3937,41.4481,185.506,5.36185
